country,install_type,install_type,vertical,vertical,subvertical,subvertical,uninstall_rate
FRA,Non-Organic,非自然流量,Gaming,游戏,Midcore,中度游戏,72.67%
FRA,Non-Organic,非自然流量,Non-Gaming,非游戏,Shopping,购物,50.74%
FRA,Non-Organic,非自然流量,Non-Gaming,非游戏,Travel,旅行,39.89%
FRA,Organic,自然流量,Gaming,游戏,Casino,赌场,61.59%
FRA,Organic,自然流量,Gaming,游戏,Casual,休闲,44.38%
FRA,Organic,自然流量,Non-Gaming,非游戏,Dating,约会,55.86%
FRA,Organic,自然流量,Non-Gaming,非游戏,Entertainment,娱乐,38.21%
FRA,Organic,自然流量,Non-Gaming,非游戏,Finance,金融,46.96%
FRA,Organic,自然流量,Non-Gaming,非游戏,Food & Drink,食品与饮料,29.21%
FRA,Organic,自然流量,Gaming,游戏,Hypercasual,超休闲,35.61%
FRA,Organic,自然流量,Non-Gaming,非游戏,Lifestyle,生活方式,41.62%
FRA,Organic,自然流量,Gaming,游戏,Midcore,中度游戏,67.10%
FRA,Organic,自然流量,Non-Gaming,非游戏,News & Magazines,新闻和杂志,20.02%
FRA,Organic,自然流量,Non-Gaming,非游戏,Shopping,购物,29.11%
FRA,Organic,自然流量,Non-Gaming,非游戏,Travel,旅行,30.81%
DEU,Non-Organic,非自然流量,Gaming,游戏,Casino,赌场,77.07%
DEU,Non-Organic,非自然流量,Gaming,游戏,Casual,休闲,53.21%
DEU,Non-Organic,非自然流量,Non-Gaming,非游戏,Dating,约会,62.02%
DEU,Non-Organic,非自然流量,Non-Gaming,非游戏,Entertainment,娱乐,50.29%
DEU,Non-Organic,非自然流量,Non-Gaming,非游戏,Finance,金融,69.37%
DEU,Non-Organic,非自然流量,Non-Gaming,非游戏,Food & Drink,食品与饮料,52.91%
DEU,Non-Organic,非自然流量,Gaming,游戏,Hypercasual,超休闲,60.95%
DEU,Non-Organic,非自然流量,Non-Gaming,非游戏,Lifestyle,生活方式,49.42%
DEU,Non-Organic,非自然流量,Gaming,游戏,Midcore,中度游戏,69.55%
DEU,Non-Organic,非自然流量,Non-Gaming,非游戏,News & Magazines,新闻和杂志,54.06%
DEU,Non-Organic,非自然流量,Non-Gaming,非游戏,Shopping,购物,51.49%
DEU,Non-Organic,非自然流量,Non-Gaming,非游戏,Travel,旅行,41.74%
DEU,Organic,自然流量,Gaming,游戏,Casino,赌场,61.23%
DEU,Organic,自然流量,Gaming,游戏,Casual,休闲,43.81%
DEU,Organic,自然流量,Non-Gaming,非游戏,Dating,约会,50.02%
DEU,Organic,自然流量,Non-Gaming,非游戏,Entertainment,娱乐,38.08%
DEU,Organic,自然流量,Non-Gaming,非游戏,Finance,金融,39.75%
DEU,Organic,自然流量,Non-Gaming,非游戏,Food & Drink,食品与饮料,32.56%
DEU,Organic,自然流量,Gaming,游戏,Hypercasual,超休闲,33.36%
DEU,Organic,自然流量,Non-Gaming,非游戏,Lifestyle,生活方式,41.34%
DEU,Organic,自然流量,Gaming,游戏,Midcore,中度游戏,58.59%
DEU,Organic,自然流量,Non-Gaming,非游戏,News & Magazines,新闻和杂志,22.82%
DEU,Organic,自然流量,Non-Gaming,非游戏,Shopping,购物,28.05%
DEU,Organic,自然流量,Non-Gaming,非游戏,Travel,旅行,30.53%
IND,Non-Organic,非自然流量,Gaming,游戏,Casino,赌场,82.18%
IND,Non-Organic,非自然流量,Gaming,游戏,Casual,休闲,63.84%
IND,Non-Organic,非自然流量,Non-Gaming,非游戏,Dating,约会,85.27%
IND,Non-Organic,非自然流量,Non-Gaming,非游戏,Entertainment,娱乐,64.47%
IND,Non-Organic,非自然流量,Non-Gaming,非游戏,Finance,金融,66.19%
IND,Non-Organic,非自然流量,Non-Gaming,非游戏,Food & Drink,食品与饮料,66.18%
IND,Non-Organic,非自然流量,Gaming,游戏,Hypercasual,超休闲,75.67%
IND,Non-Organic,非自然流量,Non-Gaming,非游戏,Lifestyle,生活方式,73.63%
IND,Non-Organic,非自然流量,Gaming,游戏,Midcore,中度游戏,82.82%
IND,Non-Organic,非自然流量,Non-Gaming,非游戏,Shopping,购物,64.83%
IND,Non-Organic,非自然流量,Non-Gaming,非游戏,Travel,旅行,62.07%
IND,Organic,自然流量,Gaming,游戏,Casino,赌场,75.12%
IND,Organic,自然流量,Gaming,游戏,Casual,休闲,52.78%
IND,Organic,自然流量,Non-Gaming,非游戏,Dating,约会,71.66%
IND,Organic,自然流量,Non-Gaming,非游戏,Entertainment,娱乐,49.44%
IND,Organic,自然流量,Non-Gaming,非游戏,Finance,金融,43.12%
