country,install_type,vertical,subvertical,uninstall_rate
IND,Non-Organic,Non-Gaming,Finance,66.19%
IND,Non-Organic,Non-Gaming,Food & Drink,66.18%
IND,Non-Organic,Gaming,Hypercasual,75.67%
IND,Non-Organic,Non-Gaming,Lifestyle,73.63%
IND,Non-Organic,Gaming,Midcore,82.82%
IND,Non-Organic,Non-Gaming,Shopping,64.83%
IND,Non-Organic,Non-Gaming,Travel,62.07%
IND,Organic,Gaming,Casino,75.12%
IND,Organic,Gaming,Casual,52.78%
IND,Organic,Non-Gaming,Dating,71.66%
IND,Organic,Non-Gaming,Entertainment,49.44%
IND,Organic,Non-Gaming,Finance,43.12%
IND,Organic,Non-Gaming,Food & Drink,47.18%
IND,Organic,Gaming,Hypercasual,51.23%
IND,Organic,Non-Gaming,Lifestyle,48.51%
IND,Organic,Gaming,Midcore,81.87%
IND,Organic,Non-Gaming,News & Magazines,31.98%
IND,Organic,Non-Gaming,Shopping,43.54%
IND,Organic,Non-Gaming,Travel,43.42%
IDN,Non-Organic,Gaming,Casino,85.96%
IDN,Non-Organic,Gaming,Casual,63.11%
IDN,Non-Organic,Non-Gaming,Dating,83.74%
IDN,Non-Organic,Non-Gaming,Entertainment,70.18%
IDN,Non-Organic,Non-Gaming,Finance,65.17%
IDN,Non-Organic,Non-Gaming,Food & Drink,63.35%
IDN,Non-Organic,Gaming,Hypercasual,67.28%
IDN,Non-Organic,Gaming,Midcore,80.79%
IDN,Non-Organic,Non-Gaming,Shopping,70.56%
IDN,Non-Organic,Non-Gaming,Travel,62.63%
IDN,Organic,Gaming,Casino,84.86%
IDN,Organic,Gaming,Casual,57.05%
IDN,Organic,Non-Gaming,Dating,62.81%
IDN,Organic,Non-Gaming,Entertainment,51.08%
IDN,Organic,Non-Gaming,Finance,37.65%
IDN,Organic,Non-Gaming,Food & Drink,37.85%
IDN,Organic,Gaming,Hypercasual,50.64%
IDN,Organic,Non-Gaming,Lifestyle,63.23%
IDN,Organic,Gaming,Midcore,77.78%
IDN,Organic,Non-Gaming,Shopping,54.25%
IDN,Organic,Non-Gaming,Travel,37.21%
JPN,Non-Organic,Gaming,Casino,85.51%
JPN,Non-Organic,Gaming,Casual,64.10%
JPN,Non-Organic,Non-Gaming,Dating,68.20%
JPN,Non-Organic,Non-Gaming,Entertainment,66.16%
JPN,Non-Organic,Non-Gaming,Finance,69.78%
JPN,Non-Organic,Non-Gaming,Food & Drink,57.63%
JPN,Non-Organic,Gaming,Hypercasual,74.76%
JPN,Non-Organic,Non-Gaming,Lifestyle,53.31%
JPN,Non-Organic,Gaming,Midcore,76.35%
JPN,Non-Organic,Non-Gaming,Shopping,65.41%
JPN,Non-Organic,Non-Gaming,Travel,57.01%
JPN,Organic,Gaming,Casino,70.83%
JPN,Organic,Gaming,Casual,53.54%
JPN,Organic,Non-Gaming,Dating,57.95%
JPN,Organic,Non-Gaming,Entertainment,43.64%
JPN,Organic,Non-Gaming,Finance,40.59%
JPN,Organic,Non-Gaming,Food & Drink,42.19%
JPN,Organic,Gaming,Hypercasual,54.70%
JPN,Organic,Non-Gaming,Lifestyle,39.75%
JPN,Organic,Gaming,Midcore,68.64%
JPN,Organic,Non-Gaming,Shopping,44.35%
JPN,Organic,Non-Gaming,Travel,27.01%
KOR,Non-Organic,Gaming,Casino,54.93%
KOR,Non-Organic,Gaming,Casual,64.65%
KOR,Non-Organic,Non-Gaming,Dating,82.27%
KOR,Non-Organic,Non-Gaming,Entertainment,65.59%
KOR,Non-Organic,Non-Gaming,Finance,69.90%
