country,is_payer,vertical,subvertical,inactivity_days,return_rate_percentage,total_users_inactive,returning_users,,
KOR,non-payer,Gaming,Hypercasual,1,16.66,28493,4748,,
BRA,payer,Gaming,Hypercasual,11,16.65,65505,10907,,
USA,non-payer,non-gaming,RMG,7,16.64,128639,21402,,
USA,payer,non-gaming,Finance (Trading & Investing),20,16.64,1262,210,,
DEU,non-payer,non-gaming,Travel,27,16.64,6299,1048,,
IND,non-payer,Gaming,Other Gaming,14,16.64,3519286,585473,,
CAN,payer,non-gaming,Generative AI,10,16.63,511,85,,
USA,non-payer,non-gaming,Finance (Financial Health & Banking),12,16.62,141018,23442,,
FRA,payer,non-gaming,Social,16,16.62,2774,461,,
DEU,payer,Gaming,MidCore,11,16.61,33835,5620,,
AUS,non-payer,non-gaming,Entertainment,19,16.6,4464,741,,
USA,payer,non-gaming,Finance (Financial Health & Banking),23,16.6,4374,726,,
FRA,non-payer,Gaming,MidCore,6,16.6,202391,33607,,
IND,payer,non-gaming,Utility & Productivity,7,16.58,329307,54606,,
KOR,payer,non-gaming,Finance (Financial Health & Banking),30,16.57,332,55,,
BRA,non-payer,non-gaming,Entertainment,15,16.56,138099,22871,,
BRA,payer,non-gaming,News,20,16.56,3020,500,,
CAN,non-payer,non-gaming,Education,12,16.55,423,70,,
FRA,payer,non-gaming,Loyalty,18,16.55,15598,2581,,
IND,payer,non-gaming,Generative AI,7,16.54,260,43,,
DEU,payer,non-gaming,Loyalty,16,16.54,15324,2534,,
BRA,payer,Gaming,Other Gaming,13,16.54,269040,44501,,
BRA,payer,non-gaming,Finance (Financial Health & Banking),24,16.53,5855,968,,
IND,payer,non-gaming,Travel,1,16.52,1907,315,,
BRA,non-payer,non-gaming,News,7,16.52,118403,19562,,
BRA,non-payer,non-gaming,E-Commerce,23,16.5,372980,61548,,
FRA,payer,Gaming,Hypercasual,15,16.5,12648,2087,,
FRA,non-payer,non-gaming,Generative AI,4,16.49,67237,11086,,
IDN,payer,Gaming,Casino,10,16.49,10936,1803,,
FRA,non-payer,non-gaming,Other Consumer,6,16.48,56118,9246,,
FRA,payer,non-gaming,Dating,6,16.48,1833,302,,
AUS,payer,non-gaming,Dating,8,16.48,1220,201,,
KOR,non-payer,non-gaming,Education,11,16.48,19608,3232,,
AUS,payer,non-gaming,Other Consumer,14,16.48,267,44,,
DEU,non-payer,Gaming,MidCore,5,16.48,285274,47014,,
DEU,payer,non-gaming,Finance (Financial Health & Banking),19,16.47,601,99,,
CAN,non-payer,non-gaming,Social,5,16.46,15197,2502,,
DEU,non-payer,non-gaming,Finance (Financial Health & Banking),11,16.46,14932,2458,,
CAN,payer,non-gaming,Social,12,16.46,1537,253,,
DEU,non-payer,non-gaming,On-Demand,22,16.46,19184,3157,,
BRA,payer,non-gaming,Entertainment,24,16.46,6817,1122,,
IND,payer,Gaming,Casino,8,16.45,25054,4122,,
USA,payer,non-gaming,Other Consumer,13,16.44,9879,1624,,
AUS,payer,non-gaming,Finance (Trading & Investing),14,16.44,73,12,,
FRA,non-payer,non-gaming,Entertainment,18,16.44,25166,4137,,
CAN,payer,non-gaming,Finance (Financial Health & Banking),27,16.44,73,12,,
CAN,non-payer,Gaming,Hypercasual,2,16.42,30562,5017,,
KOR,non-payer,Gaming,Casino,14,16.42,17218,2828,,
CAN,payer,non-gaming,Entertainment,19,16.41,2407,395,,
DEU,non-payer,non-gaming,Travel,28,16.41,6270,1029,,
FRA,non-payer,non-gaming,On-Demand,6,16.4,1488,244,,
USA,payer,non-gaming,Generative AI,10,16.4,15045,2468,,
AUS,non-payer,non-gaming,Education,13,16.4,189,31,,
IND,payer,non-gaming,News,12,16.39,1342,220,,
AUS,payer,Gaming,Hypercasual,17,16.38,3346,548,,
KOR,non-payer,non-gaming,Health & Fitness,6,16.37,158985,26021,,
KOR,payer,non-gaming,Social,17,16.37,1228,201,,
FRA,non-payer,non-gaming,Loyalty,5,16.36,34294,5612,,
DEU,non-payer,non-gaming,Social,7,16.36,63009,10310,,
BRA,non-payer,Gaming,Casino,4,16.36,97894,16017,,
DEU,payer,Gaming,Hypercasual,15,16.35,17262,2822,,
USA,payer,Gaming,Casino,19,16.35,39326,6429,,
KOR,payer,Gaming,Casino,20,16.35,942,154,,
IDN,non-payer,non-gaming,Entertainment,11,16.34,126626,20695,,
IND,payer,Gaming,Other Gaming,10,16.34,425662,69574,,
USA,payer,non-gaming,Unclassified,23,16.33,20362,3325,,
IDN,non-payer,non-gaming,E-Commerce,5,16.32,311931,50898,,
AUS,payer,non-gaming,Utility & Productivity,16,16.32,925,151,,
KOR,non-payer,non-gaming,E-Commerce,28,16.32,104925,17122,,
KOR,non-payer,non-gaming,On-Demand,29,16.32,39377,6426,,
AUS,non-payer,non-gaming,Loyalty,7,16.31,7776,1268,,
IDN,payer,non-gaming,Finance (Trading & Investing),9,16.31,14221,2320,,
KOR,non-payer,non-gaming,Finance (Trading & Investing),8,16.29,102746,16739,,
IDN,payer,non-gaming,Entertainment,22,16.29,5223,851,,
DEU,non-payer,non-gaming,Other Consumer,26,16.29,33576,5470,,
CAN,payer,non-gaming,RMG,4,16.28,43,7,,
KOR,payer,non-gaming,Entertainment,17,16.28,7557,1230,,
USA,payer,Gaming,Hypercasual,16,16.27,96918,15772,,
USA,payer,Gaming,MidCore,16,16.27,106068,17256,,
USA,non-payer,non-gaming,Unclassified,11,16.25,354579,57614,,
FRA,payer,non-gaming,Finance (Financial Health & Banking),15,16.25,523,85,,
DEU,payer,non-gaming,Social,18,16.25,5939,965,,
FRA,non-payer,non-gaming,Travel,19,16.25,7700,1251,,
USA,payer,Gaming,Other Gaming,17,16.25,616111,100098,,
DEU,non-payer,non-gaming,RMG,5,16.23,4271,693,,
IND,payer,Gaming,MidCore,24,16.23,118041,19158,,
FRA,non-payer,non-gaming,Education,6,16.22,1116,181,,
FRA,non-payer,Gaming,Casino,13,16.22,20428,3314,,
CAN,payer,Gaming,Hypercasual,17,16.22,6629,1075,,
IND,non-payer,non-gaming,Loyalty,2,16.21,283389,45934,,
BRA,non-payer,non-gaming,Finance (Financial Health & Banking),9,16.2,542084,87827,,
DEU,non-payer,non-gaming,Entertainment,16,16.19,11380,1842,,
BRA,payer,non-gaming,Social,13,16.18,12354,1999,,
BRA,payer,non-gaming,On-Demand,16,16.18,680,110,,
CAN,payer,non-gaming,Utility & Productivity,16,16.18,1687,273,,
USA,payer,non-gaming,Finance (Trading & Investing),21,16.18,1255,203,,
KOR,non-payer,non-gaming,Finance (Financial Health & Banking),1,16.17,60356,9760,,
DEU,payer,non-gaming,E-Commerce,26,16.17,470,76,,
USA,non-payer,non-gaming,Finance (Trading & Investing),7,16.15,49058,7923,,
BRA,payer,non-gaming,Dating,7,16.15,20498,3311,,
IDN,payer,non-gaming,Dating,7,16.15,9275,1498,,
USA,non-payer,non-gaming,Social,9,16.15,458924,74101,,
IND,non-payer,non-gaming,Finance (Trading & Investing),13,16.14,1152602,186056,,
AUS,payer,non-gaming,Loyalty,21,16.14,3507,566,,
FRA,non-payer,Gaming,Hypercasual,2,16.14,96343,15551,,
IND,non-payer,Gaming,Other Gaming,15,16.14,3491844,563665,,
KOR,payer,non-gaming,Generative AI,11,16.13,1364,220,,
CAN,payer,Gaming,MidCore,12,16.13,10533,1699,,
AUS,payer,Gaming,Casino,18,16.13,1432,231,,
FRA,payer,Gaming,Other Gaming,18,16.13,116479,18785,,
KOR,payer,non-gaming,Health & Fitness,25,16.12,2519,406,,
USA,payer,non-gaming,Social,13,16.11,31055,5002,,
AUS,payer,non-gaming,Utility & Productivity,17,16.1,919,148,,
BRA,non-payer,non-gaming,E-Commerce,24,16.1,370278,59597,,
KOR,payer,Gaming,Other Gaming,10,16.1,108031,17398,,
FRA,non-payer,non-gaming,Finance (Trading & Investing),5,16.09,30494,4906,,
IDN,payer,non-gaming,News,14,16.09,1436,231,,
IND,payer,non-gaming,Entertainment,15,16.09,3673,591,,
IDN,payer,Gaming,Hypercasual,7,16.09,15897,2558,,
DEU,payer,non-gaming,Utility & Productivity,13,16.08,24971,4015,,
CAN,payer,non-gaming,Loyalty,18,16.08,7426,1194,,
KOR,non-payer,non-gaming,Travel,11,16.07,53222,8554,,
IND,payer,Gaming,Hypercasual,12,16.07,190478,30611,,
IDN,payer,non-gaming,Education,9,16.06,691,111,,
DEU,non-payer,non-gaming,E-Commerce,24,16.06,54769,8797,,
AUS,payer,Gaming,Other Gaming,21,16.06,25023,4018,,
USA,payer,non-gaming,Entertainment,18,16.05,32133,5156,,
AUS,payer,non-gaming,Finance (Financial Health & Banking),18,16.05,81,13,,
AUS,payer,non-gaming,Finance (Financial Health & Banking),19,16.05,81,13,,
DEU,non-payer,non-gaming,On-Demand,23,16.05,19055,3059,,
USA,non-payer,Gaming,MidCore,9,16.05,1714400,275096,,
CAN,payer,Gaming,Other Gaming,19,16.05,52712,8458,,
DEU,non-payer,non-gaming,Health & Fitness,1,16.03,66371,10640,,
DEU,non-payer,non-gaming,Education,4,16.03,1185,190,,
IND,payer,non-gaming,Finance (Trading & Investing),11,16.03,126194,20228,,
BRA,payer,non-gaming,News,21,16.03,2994,480,,
CAN,non-payer,non-gaming,Finance (Trading & Investing),5,16.02,7848,1257,,
USA,payer,non-gaming,Education,7,16.01,1562,250,,
DEU,payer,non-gaming,Loyalty,17,16.01,15189,2431,,
DEU,payer,non-gaming,Generative AI,14,16,2213,354,,
IND,payer,non-gaming,Education,4,15.99,10986,1757,,
AUS,non-payer,non-gaming,Finance (Trading & Investing),10,15.99,8201,1311,,
CAN,non-payer,non-gaming,Entertainment,15,15.98,7332,1172,,
CAN,payer,Gaming,Casino,20,15.98,2415,386,,
IDN,payer,non-gaming,Social,11,15.97,17033,2720,,
DEU,non-payer,non-gaming,Travel,29,15.97,6225,994,,
IDN,payer,Gaming,Other Gaming,10,15.97,37924,6058,,
AUS,non-payer,Gaming,Other Gaming,9,15.96,73701,11760,,
AUS,payer,Gaming,MidCore,13,15.96,6697,1069,,
DEU,payer,non-gaming,Dating,8,15.95,3999,638,,
DEU,payer,Gaming,Casino,16,15.95,3322,530,,
DEU,payer,non-gaming,Finance (Financial Health & Banking),20,15.94,596,95,,
AUS,payer,non-gaming,Loyalty,22,15.94,3482,555,,
FRA,payer,non-gaming,Social,17,15.93,2749,438,,
BRA,payer,non-gaming,Entertainment,25,15.93,6760,1077,,
USA,payer,non-gaming,RMG,27,15.93,7822,1246,,
BRA,non-payer,non-gaming,Other Consumer,3,15.92,45520,7249,,
USA,payer,non-gaming,E-Commerce,18,15.92,1652,263,,
FRA,payer,non-gaming,Loyalty,19,15.92,15449,2460,,
AUS,non-payer,Gaming,Hypercasual,4,15.92,17614,2804,,
IDN,payer,non-gaming,Finance (Financial Health & Banking),3,15.91,44,7,,
USA,non-payer,non-gaming,Entertainment,11,15.91,210497,33480,,
AUS,payer,non-gaming,Health & Fitness,13,15.91,88,14,,
FRA,non-payer,non-gaming,Travel,20,15.91,7648,1217,,
KOR,non-payer,non-gaming,On-Demand,30,15.91,39117,6225,,
USA,payer,non-gaming,Health & Fitness,9,15.9,2768,440,,
FRA,non-payer,non-gaming,Social,11,15.9,37229,5921,,
AUS,payer,non-gaming,Social,14,15.9,1088,173,,
FRA,non-payer,non-gaming,Entertainment,19,15.9,24941,3966,,
USA,payer,non-gaming,Loyalty,16,15.89,121062,19231,,
DEU,payer,Gaming,Other Gaming,18,15.89,105272,16725,,
FRA,payer,non-gaming,Utility & Productivity,14,15.88,12877,2045,,
DEU,non-payer,non-gaming,Travel,30,15.88,6191,983,,
USA,non-payer,non-gaming,Loyalty,6,15.87,265906,42211,,
BRA,non-payer,non-gaming,Entertainment,16,15.87,136758,21705,,
USA,payer,non-gaming,Finance (Trading & Investing),22,15.87,1248,198,,
BRA,payer,Gaming,Casino,10,15.87,13150,2087,,
AUS,non-payer,non-gaming,Entertainment,20,15.86,4421,701,,
BRA,non-payer,non-gaming,Finance (Trading & Investing),5,15.85,107618,17057,,
DEU,non-payer,Gaming,Casino,8,15.84,31389,4972,,
DEU,non-payer,non-gaming,Other Consumer,27,15.83,33315,5273,,
FRA,payer,Gaming,MidCore,12,15.83,22023,3486,,
AUS,payer,Gaming,Hypercasual,18,15.83,3323,526,,
USA,payer,non-gaming,Dating,7,15.82,35336,5590,,
FRA,payer,non-gaming,Generative AI,11,15.82,1599,253,,
DEU,payer,non-gaming,Finance (Financial Health & Banking),21,15.82,594,94,,
KOR,payer,Gaming,Hypercasual,12,15.82,13383,2117,,
DEU,payer,non-gaming,E-Commerce,27,15.81,468,74,,
DEU,payer,non-gaming,Education,13,15.79,76,12,,
BRA,payer,non-gaming,Generative AI,16,15.79,152,24,,
DEU,payer,non-gaming,Entertainment,23,15.79,1317,208,,
IND,payer,non-gaming,Social,5,15.78,104217,16444,,
USA,non-payer,non-gaming,Other Consumer,9,15.78,146275,23088,,
USA,payer,non-gaming,Finance (Financial Health & Banking),24,15.78,4323,682,,
BRA,non-payer,Gaming,Hypercasual,2,15.78,297385,46919,,
USA,non-payer,non-gaming,E-Commerce,11,15.77,44912,7082,,
USA,payer,non-gaming,Unclassified,24,15.77,20187,3184,,
KOR,non-payer,non-gaming,E-Commerce,29,15.77,104025,16408,,
IND,payer,Gaming,MidCore,25,15.77,117113,18467,,
IDN,non-payer,non-gaming,Loyalty,4,15.76,46771,7372,,
BRA,payer,non-gaming,News,22,15.76,2976,469,,
USA,non-payer,Gaming,Casino,8,15.76,518856,81766,,
USA,non-payer,non-gaming,On-Demand,2,15.75,50162,7900,,
KOR,non-payer,non-gaming,Social,3,15.75,27636,4353,,
IND,payer,non-gaming,Other Consumer,3,15.75,8438,1329,,
AUS,non-payer,non-gaming,Social,5,15.73,10952,1723,,
BRA,payer,Gaming,MidCore,11,15.73,46309,7285,,
CAN,payer,non-gaming,Loyalty,19,15.72,7374,1159,,
IND,non-payer,Gaming,Other Gaming,16,15.72,3467830,545283,,
KOR,non-payer,non-gaming,Education,12,15.71,19391,3046,,
BRA,non-payer,non-gaming,E-Commerce,25,15.71,367718,57769,,
AUS,non-payer,non-gaming,Travel,5,15.7,656,103,,
IND,payer,non-gaming,RMG,2,15.69,3570,560,,
AUS,payer,non-gaming,Loyalty,23,15.69,3461,543,,
FRA,payer,Gaming,Casino,21,15.68,1288,202,,
DEU,non-payer,non-gaming,Loyalty,6,15.67,30403,4763,,
BRA,payer,non-gaming,Finance (Financial Health & Banking),25,15.67,5789,907,,
BRA,payer,non-gaming,Education,7,15.66,166,26,,
USA,payer,non-gaming,Other Consumer,14,15.65,9775,1530,,
AUS,payer,non-gaming,Generative AI,15,15.65,441,69,,
USA,non-payer,non-gaming,Finance (Financial Health & Banking),13,15.64,139172,21760,,
KOR,payer,non-gaming,Finance (Trading & Investing),17,15.62,2235,349,,
IDN,payer,Gaming,MidCore,11,15.62,37926,5923,,
FRA,payer,Gaming,Hypercasual,16,15.62,12509,1954,,
USA,payer,Gaming,Casino,20,15.62,38900,6078,,
BRA,payer,non-gaming,Finance (Trading & Investing),7,15.61,11726,1830,,
IDN,non-payer,non-gaming,Utility & Productivity,2,15.6,52525,8195,,
USA,non-payer,non-gaming,Generative AI,4,15.6,349488,54519,,
BRA,non-payer,non-gaming,Education,5,15.6,1564,244,,
BRA,non-payer,non-gaming,News,8,15.6,116920,18234,,
KOR,non-payer,non-gaming,Utility & Productivity,8,15.6,70741,11039,,
BRA,payer,non-gaming,Social,14,15.6,12246,1910,,
IDN,non-payer,Gaming,Other Gaming,5,15.6,220528,34410,,
AUS,payer,non-gaming,Other Consumer,15,15.59,263,41,,
KOR,payer,non-gaming,Entertainment,18,15.59,7487,1167,,
DEU,payer,non-gaming,Social,19,15.59,5877,916,,
DEU,non-payer,non-gaming,Utility & Productivity,5,15.58,42173,6572,,
FRA,non-payer,non-gaming,RMG,19,15.58,3146,490,,
DEU,non-payer,non-gaming,On-Demand,24,15.58,18903,2945,,
AUS,non-payer,Gaming,Casino,12,15.58,18815,2931,,
USA,non-payer,non-gaming,Utility & Productivity,8,15.57,371078,57782,,
USA,payer,Gaming,Hypercasual,17,15.57,95954,14936,,
USA,non-payer,non-gaming,Education,4,15.56,12568,1956,,
IDN,payer,non-gaming,Entertainment,23,15.55,5171,804,,
BRA,payer,non-gaming,Generative AI,20,15.54,148,23,,
AUS,non-payer,non-gaming,Finance (Financial Health & Banking),5,15.52,2249,349,,
BRA,payer,non-gaming,Utility & Productivity,6,15.52,36246,5627,,
IND,non-payer,Gaming,MidCore,7,15.52,1418025,220024,,
CAN,payer,non-gaming,Entertainment,20,15.51,2379,369,,
BRA,payer,Gaming,Hypercasual,12,15.51,64547,10014,,
USA,payer,Gaming,Other Gaming,18,15.51,609793,94588,,
AUS,non-payer,non-gaming,Generative AI,3,15.5,7980,1237,,
FRA,payer,non-gaming,Finance (Trading & Investing),5,15.5,1406,218,,
USA,payer,non-gaming,Travel,11,15.5,129,20,,
DEU,non-payer,non-gaming,E-Commerce,25,15.5,54305,8418,,
DEU,payer,Gaming,Hypercasual,16,15.5,17077,2647,,
CAN,payer,non-gaming,Utility & Productivity,17,15.49,1672,259,,
DEU,payer,Gaming,MidCore,12,15.49,33346,5166,,
FRA,non-payer,non-gaming,Finance (Financial Health & Banking),3,15.48,14644,2267,,
USA,payer,Gaming,MidCore,17,15.48,104941,16250,,
DEU,non-payer,non-gaming,Finance (Financial Health & Banking),12,15.47,14735,2280,,
DEU,non-payer,non-gaming,Entertainment,17,15.47,11270,1744,,
CAN,payer,Gaming,Hypercasual,18,15.47,6569,1016,,
USA,non-payer,Gaming,Other Gaming,7,15.46,1333089,206058,,
FRA,non-payer,Gaming,Other Gaming,8,15.46,392871,60726,,
IND,non-payer,non-gaming,Utility & Productivity,2,15.45,3225954,498250,,
FRA,payer,non-gaming,Other Consumer,10,15.45,2517,389,,
KOR,payer,non-gaming,Travel,18,15.45,7704,1190,,
FRA,payer,non-gaming,Loyalty,20,15.45,15319,2367,,
FRA,non-payer,non-gaming,Travel,21,15.43,7590,1171,,
IDN,payer,non-gaming,Utility & Productivity,6,15.42,21948,3384,,
DEU,payer,non-gaming,Loyalty,18,15.42,15050,2321,,
FRA,non-payer,non-gaming,Entertainment,20,15.42,24747,3815,,
BRA,payer,Gaming,Other Gaming,14,15.42,265198,40902,,
IDN,non-payer,non-gaming,Generative AI,2,15.41,1064,164,,
DEU,non-payer,non-gaming,Other Consumer,28,15.41,33079,5096,,
AUS,payer,Gaming,Other Gaming,22,15.41,24792,3820,,
KOR,non-payer,non-gaming,Generative AI,10,15.4,87564,13483,,
IDN,non-payer,non-gaming,On-Demand,15,15.4,32962,5076,,
CAN,non-payer,non-gaming,Entertainment,16,15.4,7266,1119,,
BRA,non-payer,non-gaming,On-Demand,9,15.39,173571,26710,,
IND,payer,Gaming,MidCore,26,15.39,116319,17903,,
IDN,non-payer,non-gaming,Entertainment,12,15.38,125024,19225,,
IND,payer,non-gaming,News,13,15.38,1326,204,,
USA,payer,non-gaming,Utility & Productivity,8,15.37,84695,13019,,
AUS,payer,non-gaming,Social,15,15.37,1080,166,,
BRA,payer,non-gaming,Entertainment,26,15.36,6701,1029,,
IND,non-payer,Gaming,Other Gaming,17,15.36,3445902,529197,,
CAN,non-payer,non-gaming,Education,13,15.35,417,64,,
IND,non-payer,non-gaming,Finance (Trading & Investing),14,15.35,1140295,175092,,
KOR,payer,non-gaming,Social,18,15.35,1212,186,,
KOR,payer,Gaming,MidCore,9,15.35,98219,15081,,
USA,payer,non-gaming,Generative AI,11,15.34,14842,2277,,
AUS,non-payer,non-gaming,Entertainment,21,15.34,4387,673,,
CAN,non-payer,non-gaming,Finance (Financial Health & Banking),6,15.33,2603,399,,
BRA,non-payer,non-gaming,E-Commerce,26,15.33,365225,55985,,
CAN,payer,Gaming,Other Gaming,20,15.33,52168,7998,,
CAN,payer,non-gaming,Social,13,15.32,1514,232,,
IND,non-payer,non-gaming,Education,2,15.31,51893,7945,,
FRA,payer,Gaming,Other Gaming,19,15.31,115195,17642,,
AUS,payer,non-gaming,Generative AI,16,15.3,438,67,,
BRA,payer,non-gaming,On-Demand,17,15.3,673,103,,
USA,payer,non-gaming,Entertainment,19,15.3,31800,4864,,
FRA,payer,non-gaming,On-Demand,5,15.29,85,13,,
KOR,payer,non-gaming,Dating,7,15.29,1086,166,,
IND,payer,non-gaming,Utility & Productivity,8,15.29,323952,49531,,
DEU,non-payer,Gaming,Other Gaming,7,15.29,370565,56671,,
IDN,payer,non-gaming,Finance (Trading & Investing),10,15.28,14029,2143,,
USA,non-payer,non-gaming,Unclassified,12,15.28,350050,53502,,
AUS,payer,non-gaming,Finance (Trading & Investing),15,15.28,72,11,,
FRA,payer,non-gaming,Utility & Productivity,15,15.28,12764,1950,,
DEU,payer,non-gaming,Finance (Financial Health & Banking),22,15.28,589,90,,
USA,payer,non-gaming,Unclassified,25,15.28,20036,3061,,
KOR,non-payer,non-gaming,E-Commerce,30,15.28,103256,15782,,
BRA,non-payer,non-gaming,Finance (Financial Health & Banking),10,15.26,535442,81689,,
FRA,non-payer,non-gaming,Utility & Productivity,6,15.25,32210,4911,,
FRA,non-payer,Gaming,Casino,14,15.25,20166,3075,,
IND,non-payer,non-gaming,Entertainment,3,15.24,226532,34513,,
IND,payer,non-gaming,Generative AI,8,15.23,256,39,,
BRA,payer,non-gaming,Generative AI,17,15.23,151,23,,
CAN,non-payer,non-gaming,Social,6,15.22,14950,2275,,
CAN,payer,non-gaming,Finance (Trading & Investing),18,15.22,46,7,,
KOR,payer,non-gaming,News,30,15.22,46,7,,
FRA,non-payer,non-gaming,Social,12,15.21,36871,5609,,
DEU,payer,non-gaming,Generative AI,15,15.21,2190,333,,
USA,payer,non-gaming,Finance (Trading & Investing),23,15.21,1236,188,,
USA,payer,non-gaming,RMG,28,15.21,7746,1178,,
KOR,non-payer,non-gaming,Entertainment,4,15.2,81878,12447,,
IND,non-payer,non-gaming,On-Demand,5,15.2,1498920,227828,,
USA,non-payer,non-gaming,RMG,8,15.2,126358,19203,,
BRA,non-payer,non-gaming,Entertainment,17,15.2,135462,20593,,
IDN,non-payer,Gaming,Hypercasual,2,15.19,83835,12736,,
CAN,payer,Gaming,Casino,21,15.19,2389,363,,
AUS,non-payer,non-gaming,Dating,1,15.18,8306,1261,,
USA,payer,non-gaming,Social,14,15.17,30675,4652,,
FRA,payer,non-gaming,Social,18,15.17,2723,413,,
CAN,payer,Gaming,MidCore,13,15.17,10400,1578,,
AUS,payer,Gaming,Casino,19,15.17,1411,214,,
IDN,non-payer,non-gaming,Finance (Trading & Investing),6,15.16,85952,13029,,
KOR,non-payer,Gaming,Other Gaming,7,15.16,177777,26956,,
BRA,non-payer,non-gaming,Utility & Productivity,1,15.15,91622,13877,,
BRA,payer,non-gaming,Other Consumer,5,15.15,1855,281,,
USA,non-payer,non-gaming,Social,10,15.15,452989,68647,,
CAN,payer,non-gaming,Loyalty,20,15.15,7312,1108,,
DEU,non-payer,non-gaming,Social,8,15.14,62035,9389,,
CAN,payer,non-gaming,Generative AI,11,15.14,502,76,,
AUS,non-payer,non-gaming,Education,14,15.14,185,28,,
AUS,non-payer,non-gaming,Education,15,15.14,185,28,,
IDN,payer,non-gaming,News,15,15.14,1420,215,,
IND,payer,non-gaming,Entertainment,16,15.14,3627,549,,
DEU,payer,non-gaming,Utility & Productivity,14,15.13,24669,3733,,
DEU,payer,Gaming,Casino,17,15.13,3285,497,,
KOR,non-payer,non-gaming,Finance (Trading & Investing),9,15.12,101193,15296,,
USA,payer,non-gaming,Health & Fitness,10,15.12,2739,414,,
AUS,payer,non-gaming,Loyalty,24,15.12,3427,518,,
AUS,non-payer,non-gaming,Other Consumer,7,15.11,5069,766,,
USA,payer,non-gaming,Loyalty,17,15.11,119754,18093,,
USA,payer,non-gaming,E-Commerce,19,15.11,1635,247,,
USA,non-payer,non-gaming,Entertainment,12,15.09,208192,31422,,
KOR,payer,Gaming,Casino,21,15.09,928,140,,
DEU,payer,non-gaming,Social,20,15.08,5836,880,,
DEU,non-payer,non-gaming,Generative AI,4,15.07,31418,4734,,
DEU,payer,non-gaming,Education,19,15.07,73,11,,
DEU,non-payer,non-gaming,On-Demand,25,15.07,18755,2826,,
IDN,payer,non-gaming,Social,12,15.05,16821,2532,,
FRA,non-payer,non-gaming,Travel,22,15.05,7543,1135,,
USA,payer,non-gaming,Finance (Financial Health & Banking),25,15.04,4282,644,,
AUS,payer,Gaming,MidCore,14,15.04,6615,995,,
IND,non-payer,Gaming,Other Gaming,18,15.04,3426364,515256,,
DEU,payer,Gaming,Other Gaming,19,15.04,104109,15657,,
FRA,payer,Gaming,Casino,22,15.04,1277,192,,
CAN,non-payer,Gaming,MidCore,7,15.03,104501,15705,,
CAN,non-payer,Gaming,Other Gaming,7,15.03,125338,18836,,
KOR,payer,non-gaming,Loyalty,11,15.02,7390,1110,,
IND,payer,non-gaming,News,14,15.02,1318,198,,
KOR,payer,non-gaming,Health & Fitness,26,15.02,2484,373,,
IDN,non-payer,non-gaming,Education,3,15.01,5856,879,,
USA,non-payer,non-gaming,E-Commerce,12,15.01,44448,6670,,
DEU,non-payer,non-gaming,Other Consumer,29,15.01,32853,4932,,
IND,payer,Gaming,MidCore,27,15.01,115534,17346,,
FRA,non-payer,non-gaming,On-Demand,7,15,1460,219,,
KOR,payer,non-gaming,Entertainment,19,15,7421,1113,,
CAN,non-payer,Gaming,Casino,7,15,36661,5499,,
KOR,non-payer,Gaming,Casino,15,15,16905,2535,,
IND,payer,non-gaming,Dating,4,14.99,100030,14995,,
BRA,non-payer,non-gaming,E-Commerce,27,14.98,362891,54370,,
BRA,non-payer,non-gaming,Social,2,14.97,184518,27617,,
BRA,payer,non-gaming,Generative AI,21,14.97,147,22,,
BRA,payer,non-gaming,Generative AI,22,14.97,147,22,,
DEU,non-payer,non-gaming,E-Commerce,26,14.96,53875,8060,,
IND,payer,Gaming,Other Gaming,11,14.96,418386,62609,,
CAN,payer,non-gaming,Dating,8,14.95,1813,271,,
USA,payer,Gaming,Hypercasual,18,14.95,95091,14220,,
KOR,non-payer,non-gaming,Other Consumer,7,14.94,83822,12519,,
BRA,payer,non-gaming,Social,15,14.94,12128,1812,,
AUS,payer,non-gaming,Other Consumer,16,14.94,261,39,,
KOR,payer,Gaming,Other Gaming,11,14.94,106423,15903,,
FRA,payer,Gaming,Hypercasual,17,14.93,12388,1849,,
USA,payer,Gaming,Casino,21,14.93,38541,5756,,
AUS,non-payer,Gaming,Other Gaming,10,14.92,72714,10850,,
BRA,payer,non-gaming,News,23,14.91,2945,439,,
BRA,non-payer,Gaming,Other Gaming,7,14.91,723988,107980,,
BRA,non-payer,non-gaming,News,9,14.9,115775,17246,,
USA,non-payer,Gaming,MidCore,10,14.9,1689515,251781,,
AUS,payer,Gaming,Hypercasual,19,14.89,3283,489,,
FRA,non-payer,non-gaming,Dating,4,14.88,39327,5853,,
DEU,payer,non-gaming,Health & Fitness,4,14.87,8199,1219,,
CAN,non-payer,non-gaming,Loyalty,7,14.87,15384,2287,,
KOR,non-payer,non-gaming,Education,13,14.87,19170,2850,,
IND,payer,Gaming,Hypercasual,13,14.87,187649,27906,,
DEU,non-payer,non-gaming,Entertainment,18,14.86,11172,1660,,
IDN,non-payer,non-gaming,Other Consumer,3,14.85,13358,1983,,
FRA,non-payer,non-gaming,Education,7,14.85,1098,163,,
IDN,payer,non-gaming,Education,10,14.85,680,101,,
USA,payer,non-gaming,Other Consumer,15,14.85,9667,1436,,
FRA,payer,non-gaming,Loyalty,21,14.85,15182,2254,,
DEU,non-payer,Gaming,Hypercasual,2,14.85,133898,19885,,
CAN,payer,Gaming,Hypercasual,19,14.85,6511,967,,
FRA,non-payer,non-gaming,Entertainment,21,14.84,24541,3643,,
