country,is_payer,vertical,subvertical,inactivity_days,return_rate_percentage,total_users_inactive,returning_users,,
AUS,payer,non-gaming,Travel,11,43.4,53,23,,
IDN,payer,non-gaming,On-Demand,16,43.37,83,36,,
DEU,non-payer,non-gaming,News,12,43.33,150,65,,
FRA,payer,non-gaming,Education,7,43.28,67,29,,
CAN,payer,non-gaming,On-Demand,7,43.28,134,58,,
KOR,payer,non-gaming,News,1,43.24,74,32,,
BRA,payer,non-gaming,On-Demand,5,43.24,1013,438,,
BRA,payer,Gaming,Hypercasual,2,43.23,97382,42094,,
DEU,payer,non-gaming,Travel,27,43.2,632,273,,
USA,payer,non-gaming,Finance (Trading & Investing),4,43.17,1934,835,,
DEU,payer,non-gaming,E-Commerce,8,43.17,732,316,,
FRA,non-payer,non-gaming,News,8,43.12,429,185,,
USA,payer,non-gaming,On-Demand,18,43.12,9228,3979,,
KOR,payer,non-gaming,Utility & Productivity,14,43.11,2053,885,,
USA,payer,Gaming,Hypercasual,3,43.09,146135,62963,,
IDN,payer,non-gaming,Finance (Trading & Investing),1,43.01,21054,9056,,
DEU,non-payer,non-gaming,Finance (Financial Health & Banking),1,42.99,22249,9564,,
AUS,payer,non-gaming,Finance (Trading & Investing),3,42.99,107,46,,
KOR,non-payer,non-gaming,Loyalty,2,42.95,21417,9199,,
CAN,payer,Gaming,Casino,6,42.89,3630,1557,,
CAN,payer,non-gaming,Finance (Trading & Investing),6,42.86,70,30,,
KOR,non-payer,non-gaming,E-Commerce,8,42.81,161637,69189,,
AUS,non-payer,Gaming,Other Gaming,1,42.78,109363,46783,,
KOR,payer,Gaming,Casino,5,42.73,1409,602,,
DEU,payer,non-gaming,Other Consumer,24,42.71,5682,2427,,
USA,payer,non-gaming,RMG,9,42.69,11906,5083,,
BRA,payer,Gaming,Other Gaming,3,42.68,397137,169485,,
CAN,payer,non-gaming,Loyalty,4,42.67,11231,4792,,
DEU,payer,non-gaming,Generative AI,2,42.66,3310,1412,,
KOR,payer,non-gaming,Other Consumer,15,42.62,6959,2966,,
KOR,payer,non-gaming,Finance (Financial Health & Banking),8,42.6,507,216,,
KOR,payer,non-gaming,Education,11,42.58,357,152,,
FRA,payer,non-gaming,Travel,20,42.53,910,387,,
FRA,payer,non-gaming,On-Demand,1,42.52,127,54,,
BRA,payer,non-gaming,Dating,1,42.49,30083,12782,,
USA,non-payer,Gaming,Other Gaming,1,42.49,1972162,837951,,
KOR,payer,non-gaming,Entertainment,4,42.45,11245,4773,,
AUS,payer,Gaming,Casino,6,42.45,2125,902,,
IND,payer,Gaming,MidCore,7,42.44,179587,76218,,
BRA,payer,non-gaming,Social,2,42.42,18297,7762,,
KOR,non-payer,Gaming,Casino,2,42.4,25417,10778,,
IDN,non-payer,non-gaming,Entertainment,1,42.39,186556,79073,,
FRA,non-payer,non-gaming,E-Commerce,11,42.35,36095,15286,,
KOR,payer,Gaming,Other Gaming,2,42.35,158731,67224,,
AUS,non-payer,non-gaming,Entertainment,2,42.33,6671,2824,,
USA,payer,non-gaming,Travel,3,42.33,189,80,,
KOR,payer,non-gaming,Finance (Trading & Investing),9,42.32,3287,1391,,
DEU,payer,non-gaming,Travel,28,42.28,622,263,,
IDN,payer,non-gaming,Entertainment,7,42.22,7746,3270,,
IND,payer,non-gaming,E-Commerce,3,42.21,11545,4873,,
CAN,payer,Gaming,MidCore,3,42.2,15494,6539,,
USA,payer,non-gaming,Dating,1,42.16,51762,21821,,
DEU,payer,non-gaming,On-Demand,13,42.14,1082,456,,
USA,payer,non-gaming,On-Demand,19,42.14,9007,3796,,
FRA,non-payer,non-gaming,Other Consumer,1,42.09,81195,34179,,
FRA,payer,non-gaming,Entertainment,7,42.09,2609,1098,,
FRA,payer,non-gaming,E-Commerce,19,42.07,725,305,,
FRA,payer,Gaming,Hypercasual,3,42.02,18562,7799,,
CAN,payer,non-gaming,Entertainment,5,41.99,3584,1505,,
FRA,payer,non-gaming,Travel,21,41.95,894,375,,
USA,non-payer,non-gaming,Finance (Financial Health & Banking),2,41.93,205953,86366,,
AUS,payer,non-gaming,Loyalty,5,41.9,5303,2222,,
DEU,non-payer,non-gaming,On-Demand,3,41.85,29000,12137,,
DEU,payer,non-gaming,Education,2,41.82,110,46,,
FRA,non-payer,Gaming,Casino,3,41.8,29901,12498,,
