country,install_type,install_type,vertical,vertical,subvertical,subvertical,uninstall_rate
CAN,Organic,オーガニック,Non-Gaming,非ゲーム,Travel,旅行,27.87%
FRA,Non-Organic,非オーガニック,Gaming,ゲーム,Casino,カジノ,70.54%
FRA,Non-Organic,非オーガニック,Gaming,ゲーム,Casual,カジュアル,52.15%
FRA,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Dating,マッチング,62.18%
FRA,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Entertainment,エンターテインメント,51.99%
FRA,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Finance,ファイナンス,68.76%
FRA,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Food & Drink,フード＆ドリンク,59.72%
FRA,Non-Organic,非オーガニック,Gaming,ゲーム,Hypercasual,ハイパーカジュアル,60.04%
FRA,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Lifestyle,ライフスタイル,56.62%
FRA,Non-Organic,非オーガニック,Gaming,ゲーム,Midcore,ミッドコア,72.67%
FRA,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Shopping,ショッピング,50.74%
FRA,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Travel,旅行,39.89%
FRA,Organic,オーガニック,Gaming,ゲーム,Casino,カジノ,61.59%
FRA,Organic,オーガニック,Gaming,ゲーム,Casual,カジュアル,44.38%
FRA,Organic,オーガニック,Non-Gaming,非ゲーム,Dating,マッチング,55.86%
FRA,Organic,オーガニック,Non-Gaming,非ゲーム,Entertainment,エンターテインメント,38.21%
FRA,Organic,オーガニック,Non-Gaming,非ゲーム,Finance,ファイナンス,46.96%
FRA,Organic,オーガニック,Non-Gaming,非ゲーム,Food & Drink,フード＆ドリンク,29.21%
FRA,Organic,オーガニック,Gaming,ゲーム,Hypercasual,ハイパーカジュアル,35.61%
FRA,Organic,オーガニック,Non-Gaming,非ゲーム,Lifestyle,ライフスタイル,41.62%
FRA,Organic,オーガニック,Gaming,ゲーム,Midcore,ミッドコア,67.10%
FRA,Organic,オーガニック,Non-Gaming,非ゲーム,News & Magazines,ニュース・雑誌,20.02%
FRA,Organic,オーガニック,Non-Gaming,非ゲーム,Shopping,ショッピング,29.11%
