country,category,category,vertical,vertical
USA,gaming,ゲーム,MidCore,ミッドコア
USA,gaming,ゲーム,Other,その他
USA,gaming,ゲーム,Hypercasual,ハイパーカジュアル
AUS,non-gaming,非ゲーム,all,すべて
BRA,non-gaming,非ゲーム,all,すべて
CAN,non-gaming,非ゲーム,all,すべて
DEU,non-gaming,非ゲーム,all,すべて
FRA,non-gaming,非ゲーム,all,すべて
GBR,non-gaming,非ゲーム,all,すべて
IDN,non-gaming,非ゲーム,all,すべて
IND,non-gaming,非ゲーム,all,すべて
JPN,non-gaming,非ゲーム,all,すべて
KOR,non-gaming,非ゲーム,all,すべて
USA,non-gaming,非ゲーム,all,すべて
AUS,gaming,ゲーム,all,すべて
BRA,gaming,ゲーム,all,すべて
CAN,gaming,ゲーム,all,すべて
DEU,gaming,ゲーム,all,すべて
FRA,gaming,ゲーム,all,すべて
GBR,gaming,ゲーム,all,すべて
IDN,gaming,ゲーム,all,すべて
IND,gaming,ゲーム,all,すべて
JPN,gaming,ゲーム,all,すべて
KOR,gaming,ゲーム,all,すべて
USA,gaming,ゲーム,all,すべて
